state_name,year,detail,male,female,total
Jammu & Kashmir,2001,Re-arrested escapees,0,0,0
Jammu & Kashmir,2002,Escapees from Inside Prison,0,0,0
Jammu & Kashmir,2002,Escapees from Outside Prison,0,0,0
Jammu & Kashmir,2002,Escapees from Police Custody,0,0,0
Jammu & Kashmir,2002,Re-arrested escapees,0,0,0
Jammu & Kashmir,2003,Escapees from Inside Prison,0,0,0
Jammu & Kashmir,2003,Escapees from Outside Prison,0,0,0
Jammu & Kashmir,2003,Escapees from Police Custody,0,0,0
Jammu & Kashmir,2003,Re-arrested escapees,0,0,0
Jammu & Kashmir,2004,Escapees from Inside Prison,0,0,0
Jammu & Kashmir,2004,Escapees from Outside Prison,0,0,0
Jammu & Kashmir,2004,Escapees from Police Custody,0,0,0
Jammu & Kashmir,2004,Re-arrested escapees,0,0,0
Jammu & Kashmir,2005,Escapees from Inside Prison,0,0,0
Jammu & Kashmir,2005,Escapees from Outside Prison,0,0,0
Jammu & Kashmir,2005,Escapees from Police Custody,0,0,0
Jammu & Kashmir,2005,Re-arrested escapees,0,0,0
Jammu & Kashmir,2006,Escapees from Inside Prison,0,0,0
Jammu & Kashmir,2006,Escapees from Outside Prison,0,0,0
Jammu & Kashmir,2006,Escapees from Police Custody,2,0,2
Jammu & Kashmir,2006,Re-arrested escapees,0,0,0
Jammu & Kashmir,2007,Escapees from Inside Prison,0,0,0
Jammu & Kashmir,2007,Escapees from Outside Prison,0,0,0
Jammu & Kashmir,2007,Escapees from Police Custody,0,0,0
Jammu & Kashmir,2007,Re-arrested escapees,0,0,0
Jammu & Kashmir,2008,Escapees from Inside Prison,0,0,0
Jammu & Kashmir,2008,Escapees from Outside Prison,0,0,0
Jammu & Kashmir,2008,Escapees from Police Custody,0,0,0
Jammu & Kashmir,2008,Re-arrested escapees,0,0,0
Jammu & Kashmir,2009,Escapees from Inside Prison,0,0,0
Jammu & Kashmir,2009,Escapees from Outside Prison,0,0,0
Jammu & Kashmir,2009,Escapees from Police Custody,0,0,0
Jammu & Kashmir,2009,Re-arrested escapees,0,0,0
Jammu & Kashmir,2010,Escapees from Inside Prison,0,0,0
Jammu & Kashmir,2010,Escapees from Outside Prison,0,0,0
Jammu & Kashmir,2010,Escapees from Police Custody,0,0,0
Jammu & Kashmir,2010,Re-arrested escapees,0,0,0
Jammu & Kashmir,2011,Escapees from Inside Prison,0,0,0
Jammu & Kashmir,2011,Escapees from Outside Prison,0,0,0
Jammu & Kashmir,2011,Escapees from Police Custody,1,0,1
Jammu & Kashmir,2011,Re-arrested escapees,1,0,1
Jammu & Kashmir,2012,Escapees from Inside Prison,0,0,0
Jammu & Kashmir,2012,Escapees from Outside Prison,0,0,0
Jammu & Kashmir,2012,Escapees from Police Custody,3,0,3
Jammu & Kashmir,2012,Re-arrested escapees,3,0,3
Jharkhand,2001,Escapees from Inside Prison,17,0,17
Jharkhand,2001,Escapees from Outside Prison,7,0,7
Jharkhand,2001,Escapees from Police Custody,6,0,6
Jharkhand,2001,Re-arrested escapees,6,0,6
Jharkhand,2002,Escapees from Inside Prison,10,0,10
Jharkhand,2002,Escapees from Outside Prison,20,0,20
Jharkhand,2002,Escapees from Police Custody,8,0,8
Jharkhand,2002,Re-arrested escapees,16,0,16
Jharkhand,2003,Escapees from Inside Prison,8,0,8
Jharkhand,2003,Escapees from Outside Prison,16,0,16
